tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8
458030764047994882	4/20/14 18:53	#VargasLlnoescreíble, continuaremos por la mañana, por ahora recomiendo leer lo que decía en la época,
http://t.co/tbMQ7sEd18	AlvaroUribeVel	Álvaro Uribe Vélez
458026891283562496	4/20/14 18:38	Vargas Lleras no es creíble, antes odiaba y acusaba de delitos al hoy Pte Santos, 
http://t.co/tbMQ7sEd18	AlvaroUribeVel	Álvaro Uribe Vélez
458026150976319488	4/20/14 18:35	En 2006 Vargas Ll inculpô al Min Juan Manuel Santos de sus atentados y hoy se luce acusándome. Ver 
http://t.co/tbMQ7sEd18	AlvaroUribeVel	Álvaro Uribe Vélez
458013356176457728	4/20/14 17:44	Ni el sabía que cumplía años lincpal @carocruzosorio @loreleitaron @danielaysalome @jamesdrodriguez… http://t.co/VPI8xug24i	FALCAO	Radamel Falcao
458008244149956608	4/20/14 17:24	Germán Vargas Lleras arremete contra el Gobierno y contra el Ministro Santos. El Tiempo, septiembre 2006

Dice… http://t.co/6osYJV8405	AlvaroUribeVel	Álvaro Uribe Vélez
458007670209798144	4/20/14 17:21	#VIDEO: Respuesta a Germán Vargas Lleras
 http://t.co/T0zSysBoDd	AlvaroUribeVel	Álvaro Uribe Vélez
458004272291282945	4/20/14 17:08	Germán Vargas inculpô al hoy Pte Santos de atentados en su contra ante varias personas y ante mi como Pte,le dije que era una infamia	AlvaroUribeVel	Álvaro Uribe Vélez
457999769361588224	4/20/14 16:50	RT @ColombVallenato: Montería Confirmado..! @carlosvives se presenta en esta bella ciudad el día 21 de Junio. No faltes,… http://t.co/my1Xu…	carlosvives	Carlos Vives
457997068637052930	4/20/14 16:39	RT @ClaudiaElenaV: Último baño con totumo antes de irnos a Bogotá #SantaMarta #sequia #sinagua #oigamosalosmamos http://t.co/gwA7DoCqkH	carlosvives	Carlos Vives
457936628397649921	4/20/14 12:39	"Los que aseguran que es imposible no deberían interrumpir a los que estamos intentándolo" Thomas Alva Edison.	JuanManSantos	Juan Manuel Santos
457927430330531842	4/20/14 12:03	Happy Easter guys! / ¡Felices Pascuas! Shak http://t.co/2KM0yoq1z0	shakira	Shakira
457913193151881218	4/20/14 11:06	Felices pascuas para todos que las enseñanzas de Jesús resuciten en nuestros corazones hoy y siempre! @ClaudiaElenaV	carlosvives	Carlos Vives
457909604769615872	4/20/14 10:52	Más tarde contestaré acusación de Vargas Lleras sobre acusación en relación con su atentado	AlvaroUribeVel	Álvaro Uribe Vélez
457888188288466944	4/20/14 9:27	Andrés Uriel, gran constructor de carreteras en el Caquetá	AlvaroUribeVel	Álvaro Uribe Vélez
457888057686249473	4/20/14 9:26	Andrés Uriel: gran constructor carreteras del Putumayo: a Mocoa, VillaGarzón, Pto Asís, Sta Ana San Miguel	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457882047139160065	4/20/14 9:02	Andrés Uriel: escribe uno de sus compañeros:"Y el plan 2500, de 160 contratos tuvo 3 caducados y 10 más con notab… http://t.co/iTbHpFCmLm	AlvaroUribeVel	Álvaro Uribe Vélez
457876250866892800	4/20/14 8:39	RT @MariaCorinaYA: Indispensable lectura p entender qué enfrentamos los vzlanos
http://t.co/VgvC2MTSOj @MoisesNaim	AlvaroUribeVel	Álvaro Uribe Vélez
457862523845619712	4/20/14 7:45	Andrés Uriel: ojalá sus compañeros del Ministerio hagan una publicación ordenada de su obra y sus condiciones de Patriota Superior	AlvaroUribeVel	Álvaro Uribe Vélez
457862246862184448	4/20/14 7:44	Andrés Uriel: siempre agradeció el gran apoyo del entonces Ministro Oscar Iván Zuluaga	AlvaroUribeVel	Álvaro Uribe Vélez
457861983355015168	4/20/14 7:42	Andrés Uriel apoyó a todos los alcaldes para mejorar vías terciarias sin intermediación corrupta	AlvaroUribeVel	Álvaro Uribe Vélez
457861803763335168	4/20/14 7:42	Andrés Uriel concibió contratos a largo plazo para mantenimiento de corredores viales	AlvaroUribeVel	Álvaro Uribe Vélez
457861619398488064	4/20/14 7:41	Andrés Uriel contrató Plan 2500 de vías dptales,Necesarias para mupios y producción.Hubo éxitos y fracasos de algunos contratistas	AlvaroUribeVel	Álvaro Uribe Vélez
457861220172058624	4/20/14 7:39	Andrés Uriel contrató alcances progresivos de Barbosa a Cisneros y Marinilla Santuario. Gbno Santos revive parcial/ por motivo elecciones	AlvaroUribeVel	Álvaro Uribe Vélez
457860469878190080	4/20/14 7:36	Andrés Uriel contrató Transversal de las Américas por el Caribe. Mínimo avance durante este Gbno	AlvaroUribeVel	Álvaro Uribe Vélez
457860310561742848	4/20/14 7:36	Andrés Uriel con Gbnos de Ant,Med,C de Ccio,Ingenieros, concibió Aut de la Montaña, las contrató con ISA. Gbno Santos, 4 años perdidos	AlvaroUribeVel	Álvaro Uribe Vélez
457859983070470144	4/20/14 7:35	Andrés Uriel contrató los 16 corredores de competitividad,	AlvaroUribeVel	Álvaro Uribe Vélez
457859414415122432	4/20/14 7:32	Andrés Uriel contrató puente sobre el Atrato para acercarse a Panamá y estudio hasta el Darién. Hoy abandonados	AlvaroUribeVel	Álvaro Uribe Vélez
457859097757777920	4/20/14 7:31	Andrés Uriel contrató estudios para obras del Canal del Dique. Estudio de Univ Nal no fue aplicable	AlvaroUribeVel	Álvaro Uribe Vélez
457858895591899136	4/20/14 7:30	Andrés Uriel construyó los espolones del Puerto de Bquilla, ppio de recuperación de navegación del Magdalena	AlvaroUribeVel	Álvaro Uribe Vélez
457858864340553728	4/20/14 7:30	RT @FIL0S0FIA: Ser humilde es valorar a las personas por sus defectos y admirarlos por sus virtudes.	ElGirald	Santiago Giraldo
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457858701949693952	4/20/14 7:29	Andrés Uriel modificó concesiones portuarios, introdujo estímulos tributarios, puertos tuvieron gran crecimiento	AlvaroUribeVel	Álvaro Uribe Vélez
457858510265790464	4/20/14 7:29	Andrés Uriel exigió el traslado de los puertos carboneros de Sta Marta y el sistema de cargue directo. Hoy a medio ritmo	AlvaroUribeVel	Álvaro Uribe Vélez
457858272020930560	4/20/14 7:28	Andrés Uriel concibió contrato con Gob de Antioquia para ferrocarril Pto Berrio Medellín. Hoy olvidado	AlvaroUribeVel	Álvaro Uribe Vélez
457858052566560768	4/20/14 7:27	Andrés Uriel promovió ferrovía del Carare a la Sábana Cundi Boyacá, su factibilidad requiere regreso de vigor de crecimiento económico	AlvaroUribeVel	Álvaro Uribe Vélez
457857655735066626	4/20/14 7:25	Andrés Uriel contrató doble calzada ferroviaria de La Loma a Sta Marta. No inician variante de Sta Marta	AlvaroUribeVel	Álvaro Uribe Vélez
457857465477267456	4/20/14 7:25	Andrés Uriel recuperó líneas férreas de Bventura Cartago y Sta Marta La Dorada. Siguen sin operador	AlvaroUribeVel	Álvaro Uribe Vélez
457857204692213760	4/20/14 7:23	Andrés Uriel hizo las concesiones grupales de aeropuertos referidas en tweet de ayer	AlvaroUribeVel	Álvaro Uribe Vélez
457856985321709568	4/20/14 7:23	Andrés Uriel y Fco Santos adjudicaron concesión del Aer El Dorado de Bogotá	AlvaroUribeVel	Álvaro Uribe Vélez
457856734594629632	4/20/14 7:22	Andrés Uriel concibió y construyó Túnel de Prueba y contrató Túnel definitivo de La Línea. (Segundo Centenario)	AlvaroUribeVel	Álvaro Uribe Vélez
457856397007679488	4/20/14 7:20	Andrés Uriel contrató con el Ejército la vía de la Soberanía, Arauca N de Santander. No muestra avances	AlvaroUribeVel	Álvaro Uribe Vélez
457856167277244417	4/20/14 7:19	Andrés Uriel incluyó vía del Tarra la Mata,N de Santander, como trayecto progresivo en concesión de Cúcuta. Hoy abandonada	AlvaroUribeVel	Álvaro Uribe Vélez
457855886833508352	4/20/14 7:18	Andrés Uriel contrató concesión Metropolitana de Cúcuta, con doble calzada a Pamplona que Gbno actual abandonó	AlvaroUribeVel	Álvaro Uribe Vélez
457855382359408641	4/20/14 7:16	Andrés Uriel contrató primer trayecto de doble calzada Bmanga Alto de Berlín en carretera a Cúcuta	AlvaroUribeVel	Álvaro Uribe Vélez
457854798411616257	4/20/14 7:14	Andrés Uriel contrató la vía Central del Norte de Pamplona por Santander a Boyacá	AlvaroUribeVel	Álvaro Uribe Vélez
457854563127934976	4/20/14 7:13	Andrés Uriel contrató vía del Carare de Boyacá al Magdalena Santandereano	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457853952051384320	4/20/14 7:11	Andrés Uriel contrató y ejecutó vía Pto López Pto Gaitán	AlvaroUribeVel	Álvaro Uribe Vélez
457853691698348032	4/20/14 7:10	RT @oscarmoralesg: Encuesta Noticias Manizales recogió 45 mil votos. Zuluaga y Peñalosa pasan a 2da vuelta. Santos ult.lugar se quema.
http…	AlvaroUribeVel	Álvaro Uribe Vélez
457853428874899456	4/20/14 7:08	Andrés Uriel contrató la carretera Granada San José del Guaviare. La dejó avanzada en un 80%	AlvaroUribeVel	Álvaro Uribe Vélez
457853210859171840	4/20/14 7:08	Andrés Uriel contrató la vía Colombia Huila a la Uribe Meta, hoy abandonada por el Gbno Santos	AlvaroUribeVel	Álvaro Uribe Vélez
457852958752129024	4/20/14 7:07	Andrés Uriel contrató la vía Pasto Mocoa por la variante de San Francisco	AlvaroUribeVel	Álvaro Uribe Vélez
457852697971290112	4/20/14 7:06	Andrés Uriel contrató la concesión Ipiales,Pasto,Aeropuerto con Túnel de Daza	AlvaroUribeVel	Álvaro Uribe Vélez
457852409734529024	4/20/14 7:04	Andrés Uriel contrató las vías de Popayán al Huila y la Circunvalar del Macizo	AlvaroUribeVel	Álvaro Uribe Vélez
457852258483716097	4/20/14 7:04	Andrés Uriel dirigió todo el impulso a la malla vial vallecaucana, contratada antes, ejecutada por él	AlvaroUribeVel	Álvaro Uribe Vélez
457851704667832320	4/20/14 7:02	Andrés Uriel desentrabó Autopistas del Café y dió impulso definitivo. (Viaducto Pereira Sta Rosa)	AlvaroUribeVel	Álvaro Uribe Vélez
457851091326341120	4/20/14 6:59	Andrés Uriel contrató y luego avanzó en Bello,Hatillo,Barbosa, con ayuda de Gobernadores como Luis Alfredo Ramos,AGaviria,SFajardo,EPrieto	AlvaroUribeVel	Álvaro Uribe Vélez
457850554392145920	4/20/14 6:57	Andrés Uriel concluyó Túnel de Occidente (Fdo Gómez M) que contrató como Srio en Antioquia ,en equipo con Juán Gómez M y Gmo Gaviria (qepd),	AlvaroUribeVel	Álvaro Uribe Vélez
457849407648858112	4/20/14 6:52	Andrés avanzó en dobles calzadas y variantes en la Sábana de Bogotá	AlvaroUribeVel	Álvaro Uribe Vélez
457849204879425536	4/20/14 6:52	Andrés Uriel puso en marcha la concesión al Llano y contrató doble calzada en 38 kms.	AlvaroUribeVel	Álvaro Uribe Vélez
457848979322314752	4/20/14 6:51	Andrés Uriel aportó los recursos para la doble calzada del sur de Bta que comunica con el túnel del Llano	AlvaroUribeVel	Álvaro Uribe Vélez
457848626782699521	4/20/14 6:49	Andrés Uriel contrató los diferentes tramos de doble calzada entre Bogotá y Buenaventura, hoy con atrasos inexplicables	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457848193834041344	4/20/14 6:48	Andrés Uriel contrató doble calzada de Bogotá a Sogamoso. Viajeros verán que Gbno Santos no concluye 13% que faltaba	AlvaroUribeVel	Álvaro Uribe Vélez
457847699887652865	4/20/14 6:46	Andrés Uriel concibió y contratô tramos de dobles calzadas de Monteria,Sincelejo,Cgena,Bquilla y Sta Marta, que hoy verán muchos viajeros	AlvaroUribeVel	Álvaro Uribe Vélez
457847280616603648	4/20/14 6:44	Andrés Uriel concibió y contrató la Ruta del Sol cuyos avances hoy verán muchos viajeros	AlvaroUribeVel	Álvaro Uribe Vélez
457696216403673088	4/19/14 20:44	Carlos Holmes Trujillo lamentó amenazas de las Farc a ciudadanos de El Tambo, Cauca
http://t.co/IL37cRvaEI	AlvaroUribeVel	Álvaro Uribe Vélez
457664918125547520	4/19/14 18:39	RT @anacabana4: vivo en el mundo de tus labios busco la playa de tus besos soy el ave que vuela cerca de tus caderas y vuelve a mismo puest…	carlosvives	Carlos Vives
457663884598734848	4/19/14 18:35	RT @PaoSpain: 3 de #Mayo @carlosvives en #Valledupar concierto confirmado que ofrece la #Gobernación #Cesar… http://t.co/4Sr7KrS9ym	carlosvives	Carlos Vives
457654710183276544	4/19/14 17:59	Who'd like @SaturdayOnline to play EMPIRE? Tweet using #RomeoPlayShakira to make it most requested. Thanks! ShakHQ http://t.co/ezL8gWPaaT	shakira	Shakira
457643377757278208	4/19/14 17:14	Por una Semana Santa donde todas las familias estén unidas. ¡Saquémosle Tarjeta Roja al Trabajo Infantil!  https://t.co/fZXMtNmtto	JuanManSantos	Juan Manuel Santos
457633113406189568	4/19/14 16:33	Para recordar el famoso comercial de "La tele" conserva tus tradiciones bañate con totumo #oigamosalosmamos http://t.co/iXlNKmZ78p	carlosvives	Carlos Vives
457630121378459648	4/19/14 16:21	Al igual q para tener salud debemos escuchar a nuestro cuerpo, hay que saber escuchar la tierra q nos habla en lenguas ancestrales	carlosvives	Carlos Vives
457629493260476416	4/19/14 16:19	Seguimos sin escuchar a los mamos,anoche en el #Sierramarfest me encontré a un grupo de Koguis haciendo pagamento y trabajo contra la sequia	carlosvives	Carlos Vives
457628791616339968	4/19/14 16:16	Hoy en esta fábrica de agua no hay agua más allá del obvio calentamiento global no hemos sido inteligentes con el manejo de los recursos	carlosvives	Carlos Vives
457628016961912832	4/19/14 16:13	Aquí en Santa Marta hemos vivido muchos años subvalorando nuestras culturas originales y abusando de la Sierra	carlosvives	Carlos Vives
457627706218512385	4/19/14 16:12	Desde entonces vivimos a espaldas de las culturas americanas y haciendo oídos sordos a sus advertencias	carlosvives	Carlos Vives
457627226033627137	4/19/14 16:10	El asesinato de Bastidas cinco años después de fundada Santa Marta supuso el comienzo de una guerra de más de 200 años	carlosvives	Carlos Vives
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457626227684438016	4/19/14 16:06	@MeudyMeza @CaroNoFue jajajajajajajajaja	carlosvives	Carlos Vives
457626189474320384	4/19/14 16:06	@monokeke15 @elespectador @shakira jajajajajajajajajajaja no me hagan reir!	carlosvives	Carlos Vives
457617786374983680	4/19/14 15:32	RT @Planeta947: El artista latino más premiado, puso a bailar a las 10 mil personas @CarlosVives en #ElEventoPlaneta entra a http://t.co/X5…	carlosvives	Carlos Vives
457603000144388096	4/19/14 14:33	Sepelio de Andrés Uriel Gallego se cumple a esta hora en Medellín | RCN La Radio http://t.co/teWknRXORV via @rcnlaradio	AlvaroUribeVel	Álvaro Uribe Vélez
457594198238429184	4/19/14 13:58	RT @Gata_sinbotass: Enamorada totalmente de esta canción! @carlosvives "Carlos Vives - El Mar de Sus Ojos ft. ChocQuibTown": http://t.co/DQ…	carlosvives	Carlos Vives
457593835275972608	4/19/14 13:57	RT @SonyEntNet: We sat down with Colombian superstar @CarlosVives at the 14th Annual Latin GRAMMY Awards®. Watch the interview: http://t.co…	carlosvives	Carlos Vives
457592273023557632	4/19/14 13:51	RT @fospina01: Mi mayor inspiración, eres mi ídolo desde muy chiquito siguiéndote! @jamesdrodriguez #El10 #PasiónPorEl10 http://t.co/F00qlK…	jamesdrodriguez	James Rodríguez
457575101417132032	4/19/14 12:43	RT @bcnopenbs: Santiago Giraldo debuta en Barcelona #bcnopenbs con el holandés Igor Sijsling @ElGirald @InfoTenisCol @teniscolfans @colombi…	ElGirald	Santiago Giraldo
457575043468652544	4/19/14 12:42	RT @fedecoltenis: Si no estás disfrutando de la final del ITF Futuro 15K Copa @ElGirald en vivo en el Club Campestre de Pereira, pon @WinSp…	ElGirald	Santiago Giraldo
457562022499344384	4/19/14 11:51	“Construir la paz es mucho más difícil que hacer la guerra”. Sacerdote José Javier Parladé	JuanManSantos	Juan Manuel Santos
457545554348998658	4/19/14 10:45	Que divertida persona es djokernole http://t.co/davSCuTLmo	FALCAO	Radamel Falcao
457544929569689601	4/19/14 10:43	Con el gran rogerfederer en el abierto de Montecarlo . http://t.co/Zc5kEvFU4K	FALCAO	Radamel Falcao
457541797376704512	4/19/14 10:30	El lunes viajaremos a México para asistir al homenaje a Gabo, el colombiano más grande de todos. Nos acompañará @EPN	JuanManSantos	Juan Manuel Santos
457521187309240320	4/19/14 9:08	1Transportes Masivos impulsados por Andrés Uriel: Transmilenio,Mio (Cali), Pereira,Bquilla,Bmanga,Medellín, Cgena,	AlvaroUribeVel	Álvaro Uribe Vélez
457520456145571840	4/19/14 9:05	2Aeropuertos concesionados por Andrés Uriel: Bucaramanga,Cúcuta, Valledupar,Riohacha,Santa Marta	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457520042754985984	4/19/14 9:04	1Aeropuertos concesionados por Andrés Uriel:El Dorado,SanAndrés,Providencia,Med Olaya,Rionegro,Carepa,Quibdó,Montería,	AlvaroUribeVel	Álvaro Uribe Vélez
457519934093139968	4/19/14 9:03	JUANES @TODAYshow Plaza Concert LIVE. Monday, April 21, 2014
ATTEND IN PERSON: Recommended arrival time is 6:00am. http://t.co/TXmXE2mdjJ	juanes	JUANES
457519455695040512	4/19/14 9:01	Camino a la misa exequial de Andrés Uriel	AlvaroUribeVel	Álvaro Uribe Vélez
457504314630877184	4/19/14 8:01	Support my friend Eric Hilcoff raising funds this monday at the Boston Marathon! #GolfFightsCancer. #TeamGFC.
http://t.co/I6TXspHABc	CamiloVillegasR	Camilo Villegas
457493177990402048	4/19/14 7:17	Andrés Uriel era erudición, dedicación, rectitud y austeridad	AlvaroUribeVel	Álvaro Uribe Vélez
